Project,Subproject,Treatment,Deployment Name,ID Type,Deployment ID,Sequence ID,Begin Time,End Time,Species Name,Common Name,Age,Sex,Individually Identifiable,Count,Actual Lat,Actual Lon,Fuzzed
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s108,2020-05-05T13:34:43,2020-05-05T13:35:31,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,7,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s109,2020-05-05T13:38:05,2020-05-05T13:38:56,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,5,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s11,2020-02-02T17:45:47,2020-02-02T17:45:52,Argusianus argus,Great Argus,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s110,2020-05-05T13:41:52,2020-05-05T13:42:10,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s111,2020-05-10T05:29:48,2020-05-10T05:29:50,Viverra tangalunga,Malay Civet,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s112,2020-05-10T12:56:13,2020-05-10T12:56:19,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s113,2020-05-10T13:04:45,2020-05-10T13:04:51,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s114,2020-05-14T10:03:51,2020-05-14T10:05:15,Rollulus rouloul,Crested Partridge,Adult,Male,N,2,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s114,2020-05-14T10:03:51,2020-05-14T10:05:15,Rollulus rouloul,Crested Partridge,Adult,Female,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s115,2020-05-15T20:23:49,2020-05-15T20:33:19,Sus barbatus,Bearded Pig,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s116,2020-05-15T20:35:32,2020-05-15T20:35:45,Sus barbatus,Bearded Pig,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s117,2020-05-19T06:20:02,2020-05-19T06:20:04,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Unknown,N,2,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s118,2020-05-19T06:21:11,2020-05-19T06:23:11,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,8,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s119,2020-05-19T06:24:59,2020-05-19T06:26:24,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,5,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s12,2020-02-03T07:53:23,2020-02-03T07:53:36,Argusianus argus,Great Argus,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s120,2020-05-20T03:24:00,2020-05-20T03:24:02,Unknown Small Rodent,Unknown Small Rodent,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s121,2020-05-21T22:16:56,2020-05-21T22:16:58,Hystrix brachyura,Malayan Porcupine,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s122,2020-05-21T22:18:52,2020-05-21T22:18:54,Hystrix brachyura,Malayan Porcupine,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s123,2020-05-23T06:52:08,2020-05-23T06:52:17,Argusianus argus,Great Argus,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s124,2020-05-23T16:46:40,2020-05-23T16:46:46,Herpestes brachyurus,Short-tailed Mongoose,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s125,2020-05-23T18:01:08,2020-05-23T18:01:10,Treeshrew species,Treeshrew species,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s126,2020-05-23T18:18:23,2020-05-23T18:18:27,Treeshrew species,Treeshrew species,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s127,2020-05-24T06:19:56,2020-05-24T06:20:10,Herpestes brachyurus,Short-tailed Mongoose,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s128,2020-05-25T15:53:38,2020-05-25T15:53:40,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,2,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s129,2020-05-25T15:57:51,2020-05-25T15:57:53,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s13,2020-02-06T16:37:45,2020-02-06T16:38:17,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Unknown,N,2,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s13,2020-02-06T16:37:45,2020-02-06T16:38:17,Macaca nemestrina,Southern Pig-tailed Macaque,Juvenile,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s13,2020-02-06T16:37:45,2020-02-06T16:38:17,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s130,2020-05-27T07:03:53,2020-05-27T07:05:19,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,14,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s131,2020-06-02T02:36:16,2020-06-02T02:37:01,Sus barbatus,Bearded Pig,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s132,2020-06-02T21:42:16,2020-06-02T21:42:21,Hemigalus derbyanus,Banded Civet,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s133,2020-06-05T00:26:59,2020-06-05T00:27:10,Sus barbatus,Bearded Pig,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s134,2020-06-07T00:48:51,2020-06-07T00:48:56,Sus barbatus,Bearded Pig,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s135,2020-06-07T06:48:44,2020-06-07T06:48:46,Treeshrew species,Treeshrew species,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s136,2020-06-08T06:38:15,2020-06-08T06:38:24,Argusianus argus,Great Argus,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s14,2020-02-10T06:09:19,2020-02-10T06:09:34,Martes flavigula,Yellow-throated Marten,Adult,Unknown,N,2,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s15,2020-02-10T07:00:33,2020-02-10T07:01:13,Macaca nemestrina,Southern Pig-tailed Macaque,Juvenile,Unknown,N,2,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s15,2020-02-10T07:00:33,2020-02-10T07:01:13,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,6,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s16,2020-02-10T07:06:03,2020-02-10T07:07:34,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,10,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s16,2020-02-10T07:06:03,2020-02-10T07:07:34,Unknown Animal,Unknown Animal,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s17,2020-02-10T07:08:38,2020-02-10T07:11:34,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,30,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s18,2020-02-11T04:52:33,2020-02-11T04:52:41,Prionailurus bengalensis,Leopard Cat,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s19,2020-02-13T11:11:20,2020-02-13T11:11:22,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s2,2020-01-17T00:31:09,2020-01-17T00:31:15,Hystrix brachyura,Malayan Porcupine,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s20,2020-02-13T11:18:30,2020-02-13T11:18:39,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s20,2020-02-13T11:18:30,2020-02-13T11:18:39,Macaca nemestrina,Southern Pig-tailed Macaque,Juvenile,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s21,2020-02-14T14:55:46,2020-02-14T14:55:49,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s22,2020-02-17T17:18:16,2020-02-17T17:19:00,Argusianus argus,Great Argus,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s23,2020-02-18T06:47:40,2020-02-18T06:47:49,Treeshrew species,Treeshrew species,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s24,2020-02-18T07:12:06,2020-02-18T07:12:08,Argusianus argus,Great Argus,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s25,2020-02-18T15:28:05,2020-02-18T15:28:11,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s26,2020-02-18T15:29:57,2020-02-18T15:31:10,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,4,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s27,2020-02-19T06:52:10,2020-02-19T06:54:13,Macaca nemestrina,Southern Pig-tailed Macaque,Juvenile,Unknown,N,2,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s27,2020-02-19T06:52:10,2020-02-19T06:54:13,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s27,2020-02-19T06:52:10,2020-02-19T06:54:13,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,6,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s28,2020-02-19T06:55:22,2020-02-19T06:55:24,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s29,2020-02-19T06:56:30,2020-02-19T06:56:32,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s3,2020-01-17T12:05:27,2020-01-17T12:05:39,Herpestes brachyurus,Short-tailed Mongoose,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s30,2020-02-19T06:58:35,2020-02-19T06:58:37,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s31,2020-02-19T07:00:39,2020-02-19T07:00:50,Macaca nemestrina,Southern Pig-tailed Macaque,Juvenile,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s31,2020-02-19T07:00:39,2020-02-19T07:00:50,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,5,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s32,2020-02-21T06:42:06,2020-02-21T06:42:08,Treeshrew species,Treeshrew species,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s33,2020-02-21T10:47:46,2020-02-21T10:47:48,Rheithrosciurus macrotis,Tufted Ground Squirrel,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s34,2020-02-22T20:23:56,2020-02-22T20:24:31,Hystrix brachyura,Malayan Porcupine,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s35,2020-02-24T07:41:47,2020-02-24T07:41:49,Treeshrew species,Treeshrew species,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s36,2020-02-24T18:41:45,2020-02-24T18:41:47,Treeshrew species,Treeshrew species,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s37,2020-02-26T09:45:46,2020-02-26T09:45:49,Muntiacus muntjak,Southern Red Muntjac,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s38,2020-02-27T03:46:36,2020-02-27T03:46:41,Viverra tangalunga,Malay Civet,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s39,2020-02-29T14:29:40,2020-02-29T14:29:43,Rheithrosciurus macrotis,Tufted Ground Squirrel,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s4,2020-01-19T12:40:47,2020-01-19T12:42:00,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Unknown,N,3,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s40,2020-03-04T07:29:55,2020-03-04T07:29:59,Muntiacus atherodes,Bornean Yellow Muntjac,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s41,2020-03-05T15:18:40,2020-03-05T15:18:45,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s42,2020-03-06T10:31:39,2020-03-06T10:31:41,Rheithrosciurus macrotis,Tufted Ground Squirrel,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s43,2020-03-08T20:35:31,2020-03-08T20:35:33,Hemigalus derbyanus,Banded Civet,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s44,2020-03-09T04:42:54,2020-03-09T04:44:07,Rusa unicolor,Sambar,Unknown,Unknown,N,3,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s45,2020-03-09T04:45:10,2020-03-09T04:45:24,Rusa unicolor,Sambar,Adult,Female,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s46,2020-03-09T12:45:54,2020-03-09T12:46:00,Argusianus argus,Great Argus,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s47,2020-03-10T01:42:47,2020-03-10T01:43:36,Martes flavigula,Yellow-throated Marten,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s48,2020-03-10T01:46:16,2020-03-10T01:46:30,Muntiacus atherodes,Bornean Yellow Muntjac,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s49,2020-03-10T01:47:59,2020-03-10T01:49:57,Muntiacus atherodes,Bornean Yellow Muntjac,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s5,2020-01-19T12:45:26,2020-01-19T12:45:44,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,2,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s50,2020-03-10T09:24:00,2020-03-10T09:24:02,Unknown Animal,Unknown Animal,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s51,2020-03-10T09:25:14,2020-03-10T09:25:15,Lariscus insignis,Three-striped Ground Squirrel,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s52,2020-03-12T22:11:16,2020-03-12T22:11:18,No Animal,No Animal,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s53,2020-03-13T07:00:22,2020-03-13T07:00:26,Muntiacus atherodes,Bornean Yellow Muntjac,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s54,2020-03-16T11:38:36,2020-03-16T11:38:51,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s55,2020-03-16T11:45:23,2020-03-16T11:46:17,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Female,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s55,2020-03-16T11:45:23,2020-03-16T11:46:17,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Unknown,N,3,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s56,2020-03-20T17:15:48,2020-03-20T17:16:14,Argusianus argus,Great Argus,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s57,2020-03-21T07:14:44,2020-03-21T07:15:01,Argusianus argus,Great Argus,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s58,2020-03-25T16:01:12,2020-03-25T16:01:31,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s58,2020-03-25T16:01:12,2020-03-25T16:01:31,Macaca nemestrina,Southern Pig-tailed Macaque,Juvenile,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s59,2020-03-25T16:02:35,2020-03-25T16:03:14,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s59,2020-03-25T16:02:35,2020-03-25T16:03:14,Macaca nemestrina,Southern Pig-tailed Macaque,Juvenile,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s59,2020-03-25T16:02:35,2020-03-25T16:03:14,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,2,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s6,2020-01-25T17:53:02,2020-01-25T17:53:11,Muntiacus species,Muntiacus species,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s60,2020-03-26T07:05:47,2020-03-26T07:06:36,Muntiacus muntjak,Southern Red Muntjac,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s61,2020-03-29T16:28:54,2020-03-29T16:29:02,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Unknown,N,2,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s62,2020-03-30T00:04:05,2020-03-30T00:05:01,Hystrix brachyura,Malayan Porcupine,Adult,Unknown,N,2,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s63,2020-04-01T02:22:23,2020-04-01T02:22:24,Hemigalus derbyanus,Banded Civet,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s64,2020-04-02T10:02:19,2020-04-02T10:02:45,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Female,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s65,2020-04-02T10:03:57,2020-04-02T10:03:59,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Male,N,1,1.39903,111.99784,FALSE
